AH,C6H6(GT),CO(GT),NMHC(GT),NO2(GT),NOx(GT),PT08.S1(CO),PT08.S3(NOx),T
0.7577538251293606,11.881723488680304,2.6,150,113.0,166.0,1360.0,1056.25,13.599999904633
0.7254874492424674,9.397164889581603,2.0,112,92.0,103.0,1292.25,1173.75,13.299999952316
0.7502390673981953,8.997816871326798,2.2,88,114.0,131.0,1402.0,1140.0,11.900000095367
0.7867125330859253,9.228796421407274,2.2,80,122.0,172.0,1375.5,1092.0,11.0
0.7887942318667593,6.518223669074141,1.6,51,116.0,131.0,1272.25,1205.0,11.150000095367
0.7847716643397448,4.741012362478748,1.2,38,96.0,89.0,1197.0,1336.5,11.175000190735
0.7603119392843289,3.624399189797516,1.2,31,77.0,62.0,1185.0,1461.75,11.324999809265
0.7702384578230451,3.3266769916607997,1.0,31,76.0,62.0,1136.25,1453.25,10.674999952316
0.7648187256861201,2.3394161950867094,0.9,24,60.0,45.0,1094.0,1579.0,10.650000095367
0.7516571648306898,1.6966582576513223,0.6,19,-200.0,-200.0,1009.75,1705.0,10.250000238419
0.7464945161292466,1.2936197573720989,-200.0,14,34.0,21.0,1011.0,1817.5,10.075000047684
0.7365596001806396,1.1334305711878574,0.7,8,28.0,16.0,1066.0,1918.0,10.999999761581
0.7352950830247281,1.6037678797288073,0.7,16,48.0,34.0,1051.75,1738.25,10.450000047684
0.7417361628563275,3.2436181473100727,1.1,29,82.0,98.0,1144.0,1489.75,10.200000047684
0.7407945757399766,8.013772987090615,2.0,64,112.0,174.0,1333.25,1136.0,10.75
0.7691107927579083,9.540642925320222,2.2,87,101.0,129.0,1351.0,1079.0,10.5
0.7551830826522904,6.335782437222818,1.7,77,98.0,112.0,1233.25,1218.0,10.799999952316
0.7351607796315153,4.971583761462568,1.5,43,92.0,95.0,1178.75,1327.5,10.499999761581
0.7950537885142038,5.216918999884966,1.6,61,95.0,104.0,1236.0,1301.25,9.5249998569489
