legs,i2_dep_1_place,i1_legid,o_dlv_e,i2_dlv_e,o_rcf_1_place,o_dep_1_e,i1_dlv_e
2.0,431,5182.0,434.0,1280,411.0,2865.0,1539.0
2.0,257,6523.0,445.0,6628,256.0,286.0,5790.0
1.0,505,5878.0,1520.0,2399,349.0,969.0,321.0
1.0,505,1275.0,159.0,2399,700.0,883.0,535.0
1.0,505,8117.0,4797.0,2399,128.0,131.0,1255.0
2.0,128,9889.0,467.0,21025,597.0,308.0,115.0
3.0,815,3997.0,151.0,727,281.0,763.0,2161.0
2.0,815,7125.0,161.0,919,597.0,298.0,374.0
1.0,505,10481.0,2830.0,2399,149.0,677.0,1170.0
1.0,505,3212.0,218.0,2399,356.0,481.0,672.0
2.0,308,12343.0,223.0,282,413.0,685.0,193.0
1.0,505,8473.0,20.0,2399,281.0,257.0,977.0
3.0,281,9931.0,140.0,47,485.0,254.0,11.0
2.0,413,12666.0,934.0,1320,413.0,475.0,200.0
3.0,671,14132.0,164.0,1528,149.0,406.0,289.0
1.0,505,13119.0,11.0,2399,700.0,1075.0,687.0
2.0,349,13572.0,108.0,2110,128.0,532.0,580.0
2.0,485,1388.0,1681.0,427,411.0,565.0,5.0
1.0,505,4697.0,1115.0,2399,700.0,1590.0,2959.0
2.0,134,13297.0,492.0,1037,349.0,629.0,3013.0
2.0,579,9481.0,7005.0,260,409.0,763.0,358.0
1.0,505,5838.0,432.0,2399,485.0,138.0,3518.0
3.0,614,10613.0,2060.0,873,403.0,292.0,1459.0
2.0,349,1363.0,4090.0,2207,349.0,1057.0,3341.0
3.0,628,4038.0,1966.0,1629,815.0,830.0,2015.0
3.0,128,3091.0,5859.0,122,128.0,944.0,3613.0
1.0,505,13510.0,1287.0,2399,431.0,368.0,4.0
1.0,505,4991.0,24.0,2399,527.0,812.0,7.0
2.0,700,11674.0,2649.0,1284,128.0,265.0,365.0
1.0,505,7108.0,2.0,2399,671.0,1195.0,444.0
3.0,128,394.0,2184.0,159,128.0,411.0,2341.0
2.0,476,13559.0,33561.0,7,752.0,260.0,786.0
2.0,411,11152.0,4388.0,73,700.0,556.0,588.0
3.0,476,10315.0,3070.0,341,700.0,1209.0,111.0
1.0,505,3104.0,1257.0,2399,256.0,1310.0,1121.0
2.0,134,3491.0,1310.0,591,700.0,1083.0,337.0
1.0,505,4535.0,636.0,2399,206.0,590.0,859.0
3.0,700,2172.0,1421.0,19652,815.0,1005.0,3734.0
3.0,441,11135.0,1125.0,1137,134.0,199.0,529.0
3.0,308,13641.0,1591.0,315,308.0,303.0,53.0
1.0,505,10206.0,6015.0,2399,128.0,444.0,1425.0
1.0,505,11942.0,68.0,2399,527.0,107.0,714.0
3.0,256,9153.0,115.0,1202,371.0,396.0,3985.0
3.0,456,2315.0,159.0,1025,700.0,1968.0,354.0
1.0,505,8251.0,1055.0,2399,349.0,116.0,797.0
1.0,505,9962.0,7497.0,2399,313.0,260.0,14.0
1.0,505,561.0,1475.0,2399,700.0,728.0,985.0
2.0,166,828.0,297.0,3803,413.0,300.0,588.0
2.0,671,4562.0,3792.0,1220,597.0,911.0,904.0
3.0,815,13455.0,3720.0,4262,815.0,157.0,2.0
3.0,128,8283.0,2293.0,55,597.0,727.0,71.0
1.0,505,8168.0,179.0,2399,700.0,927.0,1369.0
1.0,505,3231.0,5098.0,2399,398.0,497.0,111.0
1.0,505,5025.0,20.0,2399,128.0,165.0,2203.0
3.0,815,7498.0,3885.0,1329,128.0,986.0,3164.0
3.0,815,11109.0,1598.0,53,555.0,318.0,1000.0
3.0,815,8679.0,763.0,102,571.0,174.0,363.0
3.0,798,11694.0,28.0,226,128.0,672.0,212.0
2.0,700,4613.0,93.0,1242,700.0,519.0,709.0
3.0,286,10507.0,6564.0,126,609.0,1793.0,407.0
3.0,411,234.0,828.0,148,609.0,1241.0,15.0
3.0,476,8585.0,2371.0,95,101.0,57.0,1433.0
2.0,538,12419.0,1361.0,135,628.0,907.0,1572.0
2.0,671,12117.0,1703.0,120,413.0,426.0,995.0
3.0,431,9449.0,2775.0,162,609.0,1225.0,3724.0
1.0,505,7564.0,1759.0,2399,128.0,1039.0,855.0
1.0,505,10705.0,1116.0,2399,815.0,702.0,5758.0
3.0,579,8425.0,220.0,2889,809.0,1046.0,104.0
1.0,505,11901.0,4422.0,2399,700.0,905.0,306.0
1.0,505,6777.0,1976.0,2399,431.0,297.0,166.0
2.0,485,12335.0,591.0,3,238.0,184.0,218.0
2.0,236,13171.0,793.0,1109,700.0,362.0,4051.0
2.0,571,13743.0,185.0,1965,371.0,481.0,232.0
2.0,628,11804.0,135.0,372,281.0,340.0,331.0
1.0,505,6531.0,965.0,2399,128.0,1043.0,180.0
1.0,505,11836.0,166.0,2399,610.0,84.0,2961.0
3.0,815,10419.0,3091.0,2423,128.0,291.0,1104.0
1.0,505,12361.0,295.0,2399,485.0,90.0,15.0
1.0,505,9073.0,60.0,2399,426.0,846.0,338.0
3.0,789,1025.0,2985.0,1363,700.0,1095.0,78.0
1.0,505,5280.0,1575.0,2399,128.0,553.0,318.0
2.0,555,12379.0,24703.0,120,431.0,264.0,1382.0
2.0,371,717.0,17.0,4826,815.0,280.0,2634.0
3.0,206,2159.0,34.0,4426,770.0,307.0,300.0
1.0,505,9716.0,1658.0,2399,700.0,1192.0,8477.0
3.0,778,14178.0,1209.0,956,700.0,930.0,595.0
1.0,505,4444.0,2063.0,2399,149.0,696.0,1048.0
2.0,700,3373.0,814.0,219,317.0,1170.0,7534.0
1.0,505,11163.0,4158.0,2399,815.0,452.0,39275.0
3.0,614,4988.0,1084.0,889,774.0,211.0,850.0
3.0,628,5607.0,136.0,1341,798.0,443.0,1359.0
3.0,236,12714.0,6805.0,1408,579.0,1666.0,12784.0
1.0,505,5016.0,53.0,2399,609.0,1249.0,2166.0
3.0,349,12338.0,1234.0,39976,317.0,107.0,24449.0
3.0,431,2448.0,2242.0,4742,136.0,3676.0,4442.0
3.0,456,1000.0,921.0,4269,128.0,694.0,246.0
2.0,815,13841.0,347.0,34,538.0,865.0,2930.0
3.0,299,14190.0,814.0,1221,700.0,2636.0,2526.0
2.0,753,11016.0,107.0,286,485.0,149.0,1945.0
3.0,698,7143.0,335.0,1838,571.0,1541.0,2848.0
2.0,815,716.0,308.0,3576,256.0,490.0,249.0
1.0,505,3414.0,4155.0,2399,349.0,526.0,146.0
2.0,485,11718.0,408.0,1411,691.0,1202.0,1433.0
3.0,468,6995.0,18317.0,608,468.0,781.0,246.0
1.0,505,4109.0,2675.0,2399,700.0,261.0,6286.0
3.0,101,12780.0,57.0,2163,332.0,380.0,738.0
3.0,281,956.0,150.0,504,800.0,1091.0,1011.0
3.0,113,5732.0,520.0,312,610.0,179.0,280.0
1.0,505,4586.0,122.0,2399,700.0,861.0,327.0
1.0,505,9641.0,2406.0,2399,700.0,694.0,97.0
2.0,456,13017.0,1235.0,114,128.0,1375.0,1210.0
1.0,505,3434.0,1516.0,2399,128.0,895.0,164.0
2.0,815,4269.0,310.0,286,128.0,601.0,83.0
1.0,505,9533.0,2360.0,2399,700.0,995.0,915.0
3.0,366,7388.0,1497.0,1185,128.0,305.0,4096.0
3.0,698,22.0,8204.0,4639,128.0,2388.0,15795.0
3.0,349,13477.0,4985.0,505,349.0,653.0,7018.0
1.0,505,13308.0,3.0,2399,144.0,932.0,2739.0
3.0,456,2593.0,490.0,17,149.0,906.0,3595.0
1.0,505,8621.0,2355.0,2399,700.0,484.0,985.0
1.0,505,13024.0,1239.0,2399,700.0,188.0,2596.0
2.0,555,10389.0,15.0,273,308.0,303.0,1630.0
1.0,505,12816.0,362.0,2399,700.0,624.0,94.0
1.0,505,2901.0,170.0,2399,413.0,478.0,65.0
3.0,750,12211.0,4419.0,915,815.0,1551.0,3571.0
3.0,700,6671.0,2383.0,1063,800.0,196.0,1095.0
1.0,505,121.0,506.0,2399,349.0,183.0,25.0
1.0,505,8802.0,8598.0,2399,698.0,749.0,39.0
2.0,815,10852.0,1653.0,108,700.0,797.0,1323.0
2.0,174,9006.0,445.0,472,628.0,330.0,464.0
2.0,700,4008.0,1055.0,1660,700.0,958.0,1214.0
3.0,243,6610.0,74.0,10984,815.0,221.0,1395.0
2.0,299,13042.0,2775.0,998,441.0,4124.0,1007.0
3.0,597,11874.0,448.0,6370,456.0,136.0,2907.0
1.0,505,6214.0,39.0,2399,700.0,379.0,2806.0
1.0,505,14611.0,776.0,2399,468.0,837.0,1457.0
2.0,128,11030.0,837.0,1167,815.0,126.0,4238.0
3.0,456,866.0,19940.0,50,700.0,1009.0,101.0
3.0,166,13201.0,135.0,1872,700.0,437.0,1699.0
3.0,815,305.0,1001.0,619,403.0,1296.0,2588.0
3.0,128,7427.0,1556.0,175,349.0,283.0,1478.0
3.0,476,5602.0,14635.0,132,441.0,1067.0,1122.0
2.0,128,12468.0,59.0,1615,128.0,572.0,3057.0
1.0,505,797.0,3322.0,2399,317.0,171.0,3405.0
2.0,727,8504.0,388.0,260,538.0,654.0,2924.0
2.0,456,5086.0,624.0,6476,671.0,857.0,3194.0
2.0,152,10725.0,482.0,265,610.0,170.0,595.0
2.0,700,2329.0,1843.0,2872,144.0,660.0,2272.0
1.0,505,3039.0,3915.0,2399,597.0,749.0,2088.0
1.0,505,10466.0,674.0,2399,700.0,429.0,128.0
1.0,505,12309.0,3.0,2399,490.0,1421.0,2064.0
3.0,614,111.0,309.0,888,485.0,95.0,1218.0
1.0,505,11240.0,2900.0,2399,128.0,124.0,330.0
1.0,505,12289.0,1176.0,2399,609.0,1267.0,30.0
1.0,505,9343.0,3024.0,2399,485.0,219.0,918.0
1.0,505,4992.0,718.0,2399,485.0,125.0,733.0
1.0,505,220.0,164.0,2399,485.0,113.0,22.0
2.0,815,8220.0,960.0,5,206.0,222.0,1899.0
3.0,571,7182.0,110.0,19064,485.0,282.0,2204.0
1.0,505,441.0,665.0,2399,609.0,1341.0,2352.0
2.0,815,14042.0,2061.0,139,700.0,515.0,349.0
3.0,671,12535.0,354.0,5267,609.0,632.0,5720.0
2.0,809,9761.0,110.0,866,134.0,196.0,43.0
3.0,299,8449.0,860.0,226,413.0,438.0,50.0
3.0,485,12873.0,6222.0,4,481.0,2118.0,128.0
2.0,128,12655.0,1922.0,303,671.0,605.0,839.0
3.0,815,1737.0,81.0,86,815.0,164.0,622.0
1.0,505,7569.0,976.0,2399,609.0,1198.0,31.0
1.0,505,11094.0,34.0,2399,281.0,322.0,6108.0
2.0,377,8446.0,1155.0,161,815.0,683.0,167.0
