,execution_time,sup_min,number of patterns,memory_usage,dataset,algorithm
0,856.8598337173462,0.04,4716,3546.357421875,HCV,Graank
1,189.0397779941559,0.08,2216,1349.7822265625,HCV,Graank
2,94.28215169906616,0.1,1525,877.8447265625,HCV,Graank
3,34.95658040046692,0.14,813,383.6103515625,HCV,Graank
4,22.95582389831543,0.18,589,210.505859375,HCV,Graank
5,19.25392723083496,0.2,496,167.6103515625,HCV,Graank
6,12.64965867996216,0.24,272,87.6806640625,HCV,Graank
7,10.11089491844177,0.28,176,51.9609375,HCV,Graank
8,9.638911962509155,0.3,150,50.3642578125,HCV,Graank
9,9.240743398666382,0.34,120,39.0673828125,HCV,Graank
10,8.967298984527588,0.38,94,30.8095703125,HCV,Graank
11,8.862498998641968,0.4,94,30.0361328125,HCV,Graank
12,7.565296173095703,0.5,48,20.431640625,HCV,Graank
13,7.236838817596436,0.6,7,7.54296875,HCV,Graank
14,7.21399188041687,0.7,0,5.2314453125,HCV,Graank
15,7.222412347793579,0.6,7,7.54296875,HCV,Graank
16,7.196470737457275,0.7,0,5.2314453125,HCV,Graank
17,7.206564903259277,0.8,0,4.4658203125,HCV,Graank
18,7.197826623916626,0.9,0,4.7470703125,HCV,Graank
19,7.053702116012573,1.0,0,4.1767578125,HCV,Graank
0,28.20299124717712,0.04,582,447.2158203125,PCA HCV,Graank
1,16.08687472343445,0.08,425,247.8671875,PCA HCV,Graank
2,12.45858788490295,0.1,347,192.7421875,PCA HCV,Graank
3,8.890385150909424,0.14,218,90.51171875,PCA HCV,Graank
4,8.11636757850647,0.18,199,66.27734375,PCA HCV,Graank
5,8.403369188308716,0.16,211,79.44921875,PCA HCV,Graank
6,7.5885009765625,0.2,164,52.03515625,PCA HCV,Graank
7,6.536612749099731,0.24,102,37.19921875,PCA HCV,Graank
8,6.018388748168945,0.28,69,25.22265625,PCA HCV,Graank
9,5.940489053726196,0.3,55,20.60546875,PCA HCV,Graank
10,5.813094139099121,0.38,55,22.19140625,PCA HCV,Graank
11,5.769426584243774,0.4,53,21.61328125,PCA HCV,Graank
12,5.317227125167847,0.5,23,12.1220703125,PCA HCV,Graank
13,5.193441390991211,0.6,2,6.1982421875,PCA HCV,Graank
14,5.196735858917236,0.7,0,4.5205078125,PCA HCV,Graank
15,5.36274266242981,0.7,0,4.5205078125,PCA HCV,Graank
16,5.343664169311523,0.8,0,4.3408203125,PCA HCV,Graank
17,5.369809627532959,0.9,0,4.6298828125,PCA HCV,Graank
18,5.258557558059692,1.0,0,4.1220703125,PCA HCV,Graank
0,4568.885605096817,0.08,309,215.564453125,Air Quality,Graank
1,3969.550442695618,0.1,285,203.642578125,Air Quality,Graank
2,3087.877176761627,0.14,250,179.5732421875,Air Quality,Graank
3,2601.267680883408,0.18,218,148.0732421875,Air Quality,Graank
4,2442.466947793961,0.2,199,136.7216796875,Air Quality,Graank
5,2246.883209705353,0.24,174,119.8251953125,Air Quality,Graank
6,2098.771790027618,0.28,167,109.001953125,Air Quality,Graank
7,2051.565250635147,0.3,143,85.384765625,Air Quality,Graank
8,1995.268863677978,0.34,89,47.6083984375,Air Quality,Graank
9,1965.934084653854,0.38,74,43.2861328125,Air Quality,Graank
10,1949.145992279053,0.4,64,35.4990234375,Air Quality,Graank
11,1910.405424118042,0.5,49,30.2802734375,Air Quality,Graank
12,1892.190096139908,0.6,20,13.0654296875,Air Quality,Graank
13,1879.566165208816,0.7,12,10.1259765625,Air Quality,Graank
14,1877.220607757568,0.8,4,6.6025390625,Air Quality,Graank
15,1879.819982767105,0.9,1,6.83203125,Air Quality,Graank
16,1874.301451444626,1.0,0,6.470703125,Air Quality,Graank
0,1466.582211971283,0.04,149,97.2265625,PCA Air Quailty,Graank
1,1372.210777997971,0.08,73,46.2138671875,PCA Air Quailty,Graank
2,1355.596893787384,0.1,58,34.6513671875,PCA Air Quailty,Graank
3,1341.283892869949,0.14,35,26.166015625,PCA Air Quailty,Graank
4,1333.216128349304,0.18,36,25.4736328125,PCA Air Quailty,Graank
5,1330.87885761261,0.2,44,30.6220703125,PCA Air Quailty,Graank
6,1321.071516036987,0.24,51,36.8095703125,PCA Air Quailty,Graank
7,1312.109791517258,0.28,51,34.01953125,PCA Air Quailty,Graank
8,1305.782351732254,0.3,43,25.9501953125,PCA Air Quailty,Graank
9,1292.212834358215,0.34,29,18.1455078125,PCA Air Quailty,Graank
10,1288.010148763657,0.38,22,14.6298828125,PCA Air Quailty,Graank
11,1286.746096372604,0.4,18,13.6923828125,PCA Air Quailty,Graank
12,1282.458552837372,0.5,19,14.8193359375,PCA Air Quailty,Graank
13,1279.170732498169,0.6,10,8.40625,PCA Air Quailty,Graank
14,1277.365500450135,0.7,7,8.171875,PCA Air Quailty,Graank
15,1277.656596422195,0.8,2,6.78515625,PCA Air Quailty,Graank
16,1270.839506626129,0.9,0,4.3251953125,PCA Air Quailty,Graank
17,1268.269704341888,1.0,0,4.1767578125,PCA Air Quailty,Graank
0,53440.72268557549,0.18,15112,5448.1875,Cargo 2000,Graank
1,21149.0354654789,0.2,11807,3798.7421875,Cargo 2000,Graank
2,2457.997720718384,0.24,3624,1128.65234375,Cargo 2000,Graank
3,1501.517700195312,0.28,1319,381.625,Cargo 2000,Graank
4,1428.413661241531,0.3,1039,286.03125,Cargo 2000,Graank
5,1342.672670602798,0.34,803,224.0703125,Cargo 2000,Graank
6,1254.269560575485,0.38,815,219.5546875,Cargo 2000,Graank
7,1196.395916461945,0.4,775,209.2109375,Cargo 2000,Graank
8,956.6296951770782,0.5,119,40.681640625,Cargo 2000,Graank
9,946.6579377651216,0.6,16,13.4833984375,Cargo 2000,Graank
10,1021.741391420364,0.7,7,10.5546875,Cargo 2000,Graank
11,1014.245546340942,0.8,4,10.7861328125,Cargo 2000,Graank
12,957.1712138652802,0.9,0,6.5419921875,Cargo 2000,Graank
13,951.3984363079072,1.0,0,6.1904296875,Cargo 2000,Graank
0,11654.02198314667,0.14,9378,4133.310546875,PCA Cargo 2000,Graank
1,5078.421969890594,0.18,6613,2174.669921875,PCA Cargo 2000,Graank
2,3117.712930440903,0.2,5461,1623.037109375,PCA Cargo 2000,Graank
3,1023.047224760056,0.24,1527,443.576171875,PCA Cargo 2000,Graank
4,876.6755645275116,0.28,598,170.298828125,PCA Cargo 2000,Graank
5,862.0006806850433,0.3,541,150.794921875,PCA Cargo 2000,Graank
6,839.6047422885895,0.34,488,144.263671875,PCA Cargo 2000,Graank
7,817.298830986023,0.38,479,135.560546875,PCA Cargo 2000,Graank
8,800.0456357002258,0.4,470,130.466796875,PCA Cargo 2000,Graank
