Support,Size,Dataset
0.08,309,Air Quality.xlsx
0.1,285,Air Quality.xlsx
0.14,250,Air Quality.xlsx
0.18,218,Air Quality.xlsx
0.2,199,Air Quality.xlsx
0.24,174,Air Quality.xlsx
0.28,167,Air Quality.xlsx
0.3,143,Air Quality.xlsx
0.34,89,Air Quality.xlsx
0.38,74,Air Quality.xlsx
0.4,64,Air Quality.xlsx
0.5,49,Air Quality.xlsx
0.6,20,Air Quality.xlsx
0.7,12,Air Quality.xlsx
0.8,4,Air Quality.xlsx
0.9,1,Air Quality.xlsx
1.0,0,Air Quality.xlsx
0.34,41522,Chickenpox.xlsx
0.38,22932,Chickenpox.xlsx
0.4,16067,Chickenpox.xlsx
0.5,2280,Chickenpox.xlsx
0.6,386,Chickenpox.xlsx
0.7,117,Chickenpox.xlsx
0.8,1,Chickenpox.xlsx
0.9,0,Chickenpox.xlsx
1.0,0,Chickenpox.xlsx
0.18,15112,Cargo.xlsx
0.2,11807,Cargo.xlsx
0.24,3624,Cargo.xlsx
0.28,1319,Cargo.xlsx
0.3,1039,Cargo.xlsx
0.34,803,Cargo.xlsx
0.38,815,Cargo.xlsx
0.4,775,Cargo.xlsx
0.5,119,Cargo.xlsx
0.6,16,Cargo.xlsx
0.7,7,Cargo.xlsx
0.8,4,Cargo.xlsx
0.9,0,Cargo.xlsx
1.0,0,Cargo.xlsx
0.04,4716,HCV.xlsx
0.08,2216,HCV.xlsx
0.1,1525,HCV.xlsx
0.14,813,HCV.xlsx
0.18,589,HCV.xlsx
0.2,496,HCV.xlsx
0.24,272,HCV.xlsx
0.28,176,HCV.xlsx
0.3,150,HCV.xlsx
0.34,120,HCV.xlsx
0.38,94,HCV.xlsx
0.4,94,HCV.xlsx
0.5,48,HCV.xlsx
0.6,7,HCV.xlsx
0.7,0,HCV.xlsx
0.6,7,HCV.xlsx
0.7,0,HCV.xlsx
0.8,0,HCV.xlsx
0.9,0,HCV.xlsx
1.0,0,HCV.xlsx
0.04,582,HCV_PCA.xlsx
0.08,425,HCV_PCA.xlsx
0.1,347,HCV_PCA.xlsx
0.14,218,HCV_PCA.xlsx
0.18,199,HCV_PCA.xlsx
0.16,211,HCV_PCA.xlsx
0.2,164,HCV_PCA.xlsx
0.24,102,HCV_PCA.xlsx
0.28,69,HCV_PCA.xlsx
0.3,55,HCV_PCA.xlsx
0.38,55,HCV_PCA.xlsx
0.4,53,HCV_PCA.xlsx
0.5,23,HCV_PCA.xlsx
0.6,2,HCV_PCA.xlsx
0.7,0,HCV_PCA.xlsx
0.7,0,HCV_PCA.xlsx
0.8,0,HCV_PCA.xlsx
0.9,0,HCV_PCA.xlsx
1.0,0,HCV_PCA.xlsx
0.04,149,Air Quality_PCA.xlsx
0.08,73,Air Quality_PCA.xlsx
0.1,58,Air Quality_PCA.xlsx
0.14,35,Air Quality_PCA.xlsx
0.18,36,Air Quality_PCA.xlsx
0.2,44,Air Quality_PCA.xlsx
0.24,51,Air Quality_PCA.xlsx
0.28,51,Air Quality_PCA.xlsx
0.3,43,Air Quality_PCA.xlsx
0.34,29,Air Quality_PCA.xlsx
0.38,22,Air Quality_PCA.xlsx
0.4,18,Air Quality_PCA.xlsx
0.5,19,Air Quality_PCA.xlsx
0.6,10,Air Quality_PCA.xlsx
0.7,7,Air Quality_PCA.xlsx
0.8,2,Air Quality_PCA.xlsx
0.9,0,Air Quality_PCA.xlsx
1.0,0,Air Quality_PCA.xlsx
0.04,17808,Chickenpox_PCA.xlsx
0.08,2645,Chickenpox_PCA.xlsx
0.1,1428,Chickenpox_PCA.xlsx
0.14,391,Chickenpox_PCA.xlsx
0.18,105,Chickenpox_PCA.xlsx
0.2,107,Chickenpox_PCA.xlsx
0.24,390,Chickenpox_PCA.xlsx
0.28,2219,Chickenpox_PCA.xlsx
0.3,3141,Chickenpox_PCA.xlsx
0.34,3270,Chickenpox_PCA.xlsx
0.38,2447,Chickenpox_PCA.xlsx
0.4,1892,Chickenpox_PCA.xlsx
0.5,475,Chickenpox_PCA.xlsx
0.6,112,Chickenpox_PCA.xlsx
0.7,44,Chickenpox_PCA.xlsx
0.8,0,Chickenpox_PCA.xlsx
0.9,0,Chickenpox_PCA.xlsx
1.0,0,Chickenpox_PCA.xlsx
0.14,9378,Cargo_PCA.xlsx
0.18,6613,Cargo_PCA.xlsx
0.2,5461,Cargo_PCA.xlsx
0.24,1527,Cargo_PCA.xlsx
0.28,598,Cargo_PCA.xlsx
0.3,541,Cargo_PCA.xlsx
0.34,488,Cargo_PCA.xlsx
0.38,479,Cargo_PCA.xlsx
0.4,470,Cargo_PCA.xlsx
0.5,67,Cargo_PCA.xlsx
0.6,7,Cargo_PCA.xlsx
0.7,4,Cargo_PCA.xlsx
0.8,2,Cargo_PCA.xlsx
0.9,0,Cargo_PCA.xlsx
1.0,0,Cargo_PCA.xlsx
