Dataset;Support;Size;Temps d'exécution (s);Mémoire maximale (Ko);Titre variables;Supports motifs;Motifs detectés
./data/AfterPCA/HCV.csv;0.3;55;6.368272066116333;22.8603515625;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.45489791054262335, 0.42328328169275176, 0.4684356876142051, 0.5121792325415111, 0.4446545377505892, 0.44909297952914384, 0.46810201001032814, 0.45534281401445936, 0.4580757924843092, 0.40362278541352187, 0.41623897672201476, 0.4702100050316464, 0.3944122242525357, 0.36958766981806623, 0.4678848547443129, 0.4887847249808003, 0.4918884563438468, 0.41834167527343025, 0.4584942136066312, 0.49643282752045764, 0.46246656603373854, 0.4774714652683986, 0.42100050316464077, 0.4294377797198167, 0.3846667196313657, 0.4111967373745399, 0.41030163396096503, 0.46073991684542254, 0.4654431821191176, 0.4431185614787744, 0.32597653663833054, 0.31359868647546413, 0.3365588835041445, 0.32608776250628957, 0.3515743756786102, 0.3188210057996345, 0.32890548449458434, 0.3110934562114351, 0.3250231720558248, 0.35472577527078203, 0.36633563729774105, 0.34689229628452634, 0.3617277084822966, 0.37842747808585575, 0.30910198352797863, 0.32273509705781095, 0.3621302401949101, 0.32387383808691506, 0.3161409920288128, 0.314716241624957, 0.3008024151902757, 0.3179947564947962, 0.3517968274145282, 0.3519769073912237, 0.3407854664865867];[{'2-', '1+'}, {'3-', '1+'}, {'4+', '1+'}, {'4-', '1+'}, {'5-', '1+'}, {'6-', '1+'}, {'7-', '1+'}, {'8-', '1+'}, {'3-', '2+'}, {'4-', '2+'}, {'5-', '2+'}, {'6-', '2+'}, {'7-', '2+'}, {'8-', '2+'}, {'3+', '4+'}, {'3+', '4-'}, {'3+', '5-'}, {'3+', '6-'}, {'3+', '7+'}, {'3+', '7-'}, {'3+', '8-'}, {'6+', '4+'}, {'7-', '4+'}, {'4+', '8-'}, {'6-', '5+'}, {'7-', '5+'}, {'5+', '8-'}, {'6+', '7-'}, {'6+', '8-'}, {'8-', '7+'}, {'5+', '1+', '2+'}, {'7+', '1+', '2+'}, {'8+', '1+', '2+'}, {'6+', '3+', '1+'}, {'6+', '5+', '1+'}, {'7+', '5+', '1+'}, {'8+', '5+', '1+'}, {'3+', '8+', '2+'}, {'4+', '5+', '2+'}, {'4+', '7+', '2+'}, {'8+', '4+', '2+'}, {'6+', '5+', '2+'}, {'5+', '7+', '2+'}, {'8+', '5+', '2+'}, {'6+', '7+', '2+'}, {'6+', '8+', '2+'}, {'8+', '7+', '2+'}, {'6+', '3+', '5+'}, {'4+', '5+', '7+'}, {'8+', '4+', '5+'}, {'5-', '4+', '6-'}, {'8+', '4+', '7+'}, {'6+', '5+', '7+'}, {'6+', '8+', '5+'}, {'8+', '5+', '7+'}]
./data/AfterPCA/HCV.csv;0.34;51;6.0917510986328125;18.84765625;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.5267286353645295, 0.45489791054262335, 0.5442652472127327, 0.42328328169275176, 0.4684356876142051, 0.5121792325415111, 0.4446545377505892, 0.44909297952914384, 0.510733296258044, 0.46810201001032814, 0.5267127459548211, 0.45534281401445936, 0.499012208363126, 0.4580757924843092, 0.40362278541352187, 0.41623897672201476, 0.4702100050316464, 0.3944122242525357, 0.36958766981806623, 0.4678848547443129, 0.4887847249808003, 0.4765445830354069, 0.4918884563438468, 0.5486295384126479, 0.41834167527343025, 0.4584942136066312, 0.49643282752045764, 0.4948597759593231, 0.46246656603373854, 0.5002145070310638, 0.4815762294430762, 0.4774714652683986, 0.5024602102698551, 0.42100050316464077, 0.4294377797198167, 0.3846667196313657, 0.4111967373745399, 0.41030163396096503, 0.46073991684542254, 0.4654431821191176, 0.4431185614787744, 0.3515743756786102, 0.35472577527078203, 0.36633563729774105, 0.34689229628452634, 0.3617277084822966, 0.37842747808585575, 0.3621302401949101, 0.3517968274145282, 0.3519769073912237, 0.3407854664865867];[{'1+', '2+'}, {'2-', '1+'}, {'3+', '1+'}, {'3-', '1+'}, {'4+', '1+'}, {'4-', '1+'}, {'5-', '1+'}, {'6-', '1+'}, {'7+', '1+'}, {'7-', '1+'}, {'8+', '1+'}, {'8-', '1+'}, {'3+', '2+'}, {'3-', '2+'}, {'4-', '2+'}, {'5-', '2+'}, {'6-', '2+'}, {'7-', '2+'}, {'8-', '2+'}, {'3+', '4+'}, {'3+', '4-'}, {'3+', '5+'}, {'3+', '5-'}, {'6+', '3+'}, {'3+', '6-'}, {'3+', '7+'}, {'3+', '7-'}, {'3+', '8+'}, {'3+', '8-'}, {'4+', '5+'}, {'5-', '4+'}, {'6+', '4+'}, {'4+', '6-'}, {'7-', '4+'}, {'4+', '8-'}, {'6-', '5+'}, {'7-', '5+'}, {'5+', '8-'}, {'6+', '7-'}, {'6+', '8-'}, {'8-', '7+'}, {'6+', '5+', '1+'}, {'4+', '7+', '2+'}, {'8+', '4+', '2+'}, {'6+', '5+', '2+'}, {'5+', '7+', '2+'}, {'8+', '5+', '2+'}, {'8+', '7+', '2+'}, {'6+', '5+', '7+'}, {'6+', '8+', '5+'}, {'8+', '5+', '7+'}]
./data/AfterPCA/HCV.csv;0.38;55;6.021973371505737;22.19140625;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.5267286353645295, 0.45489791054262335, 0.5442652472127327, 0.42328328169275176, 0.4684356876142051, 0.5121792325415111, 0.547962183204894, 0.4446545377505892, 0.5421095839622891, 0.44909297952914384, 0.510733296258044, 0.46810201001032814, 0.5267127459548211, 0.45534281401445936, 0.499012208363126, 0.4580757924843092, 0.5677127194724716, 0.40362278541352187, 0.5662138184899764, 0.41623897672201476, 0.510230131617277, 0.4702100050316464, 0.5737242128121607, 0.3944122242525357, 0.602754164349461, 0.4678848547443129, 0.4887847249808003, 0.4765445830354069, 0.4918884563438468, 0.5486295384126479, 0.41834167527343025, 0.4584942136066312, 0.49643282752045764, 0.4948597759593231, 0.46246656603373854, 0.5002145070310638, 0.4815762294430762, 0.4774714652683986, 0.5024602102698551, 0.5467545880670533, 0.42100050316464077, 0.5413680781758957, 0.4294377797198167, 0.6073620931649056, 0.3846667196313657, 0.568454225258865, 0.4111967373745399, 0.5719869706840391, 0.41030163396096503, 0.5173962553957787, 0.46073991684542254, 0.5152988533142661, 0.4654431821191176, 0.5256269696247451, 0.4431185614787744];[{'1+', '2+'}, {'2-', '1+'}, {'3+', '1+'}, {'3-', '1+'}, {'4+', '1+'}, {'4-', '1+'}, {'5+', '1+'}, {'5-', '1+'}, {'6+', '1+'}, {'6-', '1+'}, {'7+', '1+'}, {'7-', '1+'}, {'8+', '1+'}, {'8-', '1+'}, {'3+', '2+'}, {'3-', '2+'}, {'4+', '2+'}, {'4-', '2+'}, {'5+', '2+'}, {'5-', '2+'}, {'6+', '2+'}, {'6-', '2+'}, {'7+', '2+'}, {'7-', '2+'}, {'8+', '2+'}, {'3+', '4+'}, {'3+', '4-'}, {'3+', '5+'}, {'3+', '5-'}, {'6+', '3+'}, {'3+', '6-'}, {'3+', '7+'}, {'3+', '7-'}, {'3+', '8+'}, {'3+', '8-'}, {'4+', '5+'}, {'5-', '4+'}, {'6+', '4+'}, {'4+', '6-'}, {'4+', '7+'}, {'7-', '4+'}, {'8+', '4+'}, {'4+', '8-'}, {'6+', '5+'}, {'6-', '5+'}, {'5+', '7+'}, {'7-', '5+'}, {'8+', '5+'}, {'5+', '8-'}, {'6+', '7+'}, {'6+', '7-'}, {'6+', '8+'}, {'6+', '8-'}, {'8+', '7+'}, {'8-', '7+'}]
./data/AfterPCA/HCV.csv;0.4;53;6.003309011459351;21.89453125;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.5267286353645295, 0.45489791054262335, 0.5442652472127327, 0.42328328169275176, 0.4684356876142051, 0.5121792325415111, 0.547962183204894, 0.4446545377505892, 0.5421095839622891, 0.44909297952914384, 0.510733296258044, 0.46810201001032814, 0.5267127459548211, 0.45534281401445936, 0.499012208363126, 0.4580757924843092, 0.5677127194724716, 0.40362278541352187, 0.5662138184899764, 0.41623897672201476, 0.510230131617277, 0.4702100050316464, 0.5737242128121607, 0.602754164349461, 0.4678848547443129, 0.4887847249808003, 0.4765445830354069, 0.4918884563438468, 0.5486295384126479, 0.41834167527343025, 0.4584942136066312, 0.49643282752045764, 0.4948597759593231, 0.46246656603373854, 0.5002145070310638, 0.4815762294430762, 0.4774714652683986, 0.5024602102698551, 0.5467545880670533, 0.42100050316464077, 0.5413680781758957, 0.4294377797198167, 0.6073620931649056, 0.568454225258865, 0.4111967373745399, 0.5719869706840391, 0.41030163396096503, 0.5173962553957787, 0.46073991684542254, 0.5152988533142661, 0.4654431821191176, 0.5256269696247451, 0.4431185614787744];[{'1+', '2+'}, {'2-', '1+'}, {'3+', '1+'}, {'3-', '1+'}, {'4+', '1+'}, {'4-', '1+'}, {'5+', '1+'}, {'5-', '1+'}, {'6+', '1+'}, {'6-', '1+'}, {'7+', '1+'}, {'7-', '1+'}, {'8+', '1+'}, {'8-', '1+'}, {'3+', '2+'}, {'3-', '2+'}, {'4+', '2+'}, {'4-', '2+'}, {'5+', '2+'}, {'5-', '2+'}, {'6+', '2+'}, {'6-', '2+'}, {'7+', '2+'}, {'8+', '2+'}, {'3+', '4+'}, {'3+', '4-'}, {'3+', '5+'}, {'3+', '5-'}, {'6+', '3+'}, {'3+', '6-'}, {'3+', '7+'}, {'3+', '7-'}, {'3+', '8+'}, {'3+', '8-'}, {'4+', '5+'}, {'5-', '4+'}, {'6+', '4+'}, {'4+', '6-'}, {'4+', '7+'}, {'7-', '4+'}, {'8+', '4+'}, {'4+', '8-'}, {'6+', '5+'}, {'5+', '7+'}, {'7-', '5+'}, {'8+', '5+'}, {'5+', '8-'}, {'6+', '7+'}, {'6+', '7-'}, {'6+', '8+'}, {'6+', '8-'}, {'8+', '7+'}, {'8-', '7+'}]
./data/AfterPCA/HCV.csv;0.5;23;5.501551389694214;12.1220703125;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.5267286353645295, 0.5442652472127327, 0.5121792325415111, 0.547962183204894, 0.5421095839622891, 0.510733296258044, 0.5267127459548211, 0.5677127194724716, 0.5662138184899764, 0.510230131617277, 0.5737242128121607, 0.602754164349461, 0.5486295384126479, 0.5002145070310638, 0.5024602102698551, 0.5467545880670533, 0.5413680781758957, 0.6073620931649056, 0.568454225258865, 0.5719869706840391, 0.5173962553957787, 0.5152988533142661, 0.5256269696247451];[{'1+', '2+'}, {'3+', '1+'}, {'4-', '1+'}, {'5+', '1+'}, {'6+', '1+'}, {'7+', '1+'}, {'8+', '1+'}, {'4+', '2+'}, {'5+', '2+'}, {'6+', '2+'}, {'7+', '2+'}, {'8+', '2+'}, {'6+', '3+'}, {'4+', '5+'}, {'4+', '6-'}, {'4+', '7+'}, {'8+', '4+'}, {'6+', '5+'}, {'5+', '7+'}, {'8+', '5+'}, {'6+', '7+'}, {'6+', '8+'}, {'8+', '7+'}]
./data/AfterPCA/HCV.csv;0.6;2;5.352803468704224;6.1982421875;['1 : ALP', '2 : AST', '3 : Age', '4 : BIL', '5 : CHE', '6 : CHOL', '7 : CREA', '8 : GGT'];[0.602754164349461, 0.6073620931649056];[{'8+', '2+'}, {'6+', '5+'}]
./data/AfterPCA/HCV.csv;0.7;0;5.36274266242981;4.5205078125;0;0;0
./data/AfterPCA/HCV.csv;0.8;0;5.343664169311523;4.3408203125;0;0;0
./data/AfterPCA/HCV.csv;0.9;0;5.369809627532959;4.6298828125;0;0;0
./data/AfterPCA/HCV.csv;1;0;5.258557558059692;4.1220703125;0;0;0
