Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
Cargo 2000,PSO-GRAANK,0.3,432.5697908401489,75.7,4,"[0.491, 0.357, 0.422, 0.407]","[['i1_legid+', 'i1_rcs_e-'], ['i1_legid+', 'i1_rcs_p+', 'i1_dep_1_e+'], ['i1_legid+', 'i1_rcs_p+', 'i1_rcs_e+'], ['i1_legid+', 'i1_rcs_p-', 'i1_rcs_e-']]"
Cargo 2000,PRS-GRAANK,0.3,36.59910345077515,55.8,3,"[0.494, 0.421, 0.301]","[['i1_legid+', 'i1_rcs_p-'], ['i1_legid+', 'i1_dep_1_p+'], ['i1_legid+', 'i1_rcs_e+', 'i1_rcf_1_p+']]"
Cargo 2000,GA-GRAANK,0.3,679.3130702972412,75.2,1,[0.306],"[['i1_legid-', 'i1_rcs_e+', 'i1_rcf_1_p+']]"
Cargo 2000,PRS-GRAANK,0.34,46.22727680206299,55.5,3,"[0.421, 0.407, 0.508]","[['i1_legid+', 'i1_dep_1_p+'], ['i1_legid+', 'i1_rcs_p-', 'i1_rcs_e-'], ['i1_legid+', 'i1_rcs_e+']]"
Cargo 2000,PSO-GRAANK,0.34,428.1520631313324,75.8,4,"[0.407, 0.506, 0.422, 0.421]","[['i1_legid+', 'i1_rcs_p-', 'i1_rcs_e-'], ['i1_legid+', 'i1_rcs_p+'], ['i1_legid+', 'i1_rcs_p+', 'i1_rcs_e+'], ['i1_legid+', 'i1_dep_1_p+']]"
Cargo 2000,GA-GRAANK,0.34,677.2564387321472,74.0,1,[0.424],"[['i1_legid-', 'i1_dep_1_p+']]"
Cargo 2000,PRS-GRAANK,0.38,51.77090406417847,51.5,2,"[0.494, 0.506]","[['i1_legid+', 'i1_rcs_p-'], ['i1_legid+', 'i1_rcs_p+']]"
Cargo 2000,PSO-GRAANK,0.38,431.9709894657135,75.1,2,"[0.422, 0.504]","[['i1_legid+', 'i1_rcs_p+', 'i1_rcs_e+'], ['i1_legid+', 'i1_dep_1_e+']]"
Cargo 2000,GA-GRAANK,0.38,689.8795146942139,74.8,1,[0.49],"[['i1_rcs_p+', 'i2_rcs_p+']]"
Cargo 2000,PRS-GRAANK,0.4,37.325695276260376,50.5,2,"[0.506, 0.422]","[['i1_legid+', 'i1_rcs_p+'], ['i1_legid+', 'i1_rcs_p+', 'i1_rcs_e+']]"
Cargo 2000,GA-GRAANK,0.4,719.8729984760284,74.0,1,[0.484],"[['i1_dep_1_e-', 'i1_dep_1_place+']]"
Cargo 2000,PSO-GRAANK,0.4,405.56691312789917,75.4,1,[0.506],"[['i1_legid+', 'i1_rcs_p+']]"
Cargo 2000,PSO-GRAANK,0.5,419.6201696395874,73.7,3,"[0.51, 0.506, 0.51]","[['i1_legid+', 'o_rcs_p+'], ['i1_legid+', 'i1_rcs_p+'], ['i1_legid+', 'i1_rcf_1_e-']]"
Cargo 2000,PRS-GRAANK,0.5,47.77294635772705,53.0,3,"[0.508, 0.504, 0.506]","[['i1_legid+', 'i1_rcs_e+'], ['i1_legid+', 'i1_dep_1_e+'], ['i1_legid+', 'i1_rcs_p+']]"
Cargo 2000,GA-GRAANK,0.5,710.2913575172424,76.5,0,[],[]
Cargo 2000,GA-GRAANK,0.6,648.7038674354553,79.7,0,[],[]
Cargo 2000,PSO-GRAANK,0.6,436.49295568466187,78.9,0,[],[]
Cargo 2000,PRS-GRAANK,0.6,41.32520270347595,59.8,0,[],[]
Cargo 2000,PSO-GRAANK,0.7,418.0009124279022,78.4,0,[],[]
Cargo 2000,GA-GRAANK,0.7,589.7624545097351,78.7,0,[],[]
Cargo 2000,PRS-GRAANK,0.7,66.52532172203064,55.6,0,[],[]
Cargo 2000,PRS-GRAANK,0.8,52.11126160621643,52.5,0,[],[]
Cargo 2000,GA-GRAANK,0.8,648.6894726753235,76.5,0,[],[]
Cargo 2000,PSO-GRAANK,0.8,423.619811296463,77.9,0,[],[]
