Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
HCV,GRAANK,0.3,9.638911962509155,50.3642578125,150,0,
HCV,GRAANK,0.34,9.240743398666382,39.0673828125,120,0,
HCV,GRAANK,0.38,8.967298984527588,30.8095703125,94,0,
HCV,GRAANK,0.4,8.862498998641968,30.0361328125,94,0,
HCV,GRAANK,0.5,7.565296173095703,20.431640625,48,0,
HCV,GRAANK,0.6,7.236838817596436,7.54296875,7,0,
HCV,GRAANK,0.7,7.21399188041687,5.2314453125,0,0,
HCV,GRAANK,0.6,7.222412347793579,7.54296875,7,0,
HCV,GRAANK,0.7,7.196470737457275,5.2314453125,0,0,
HCV,GRAANK,0.8,7.206564903259277,4.4658203125,0,0,
HCV,GRAANK,0.9,7.197826623916626,4.7470703125,0,0,
HCV,GRAANK,1.0,7.053702116012573,4.1767578125,0,0,
HCV,PCA-GRAANK,0.3,5.940489053726196,20.60546875,55,0,
HCV,PCA-GRAANK,0.38,5.813094139099121,22.19140625,55,0,
HCV,PCA-GRAANK,0.4,5.769426584243774,21.61328125,53,0,
HCV,PCA-GRAANK,0.5,5.317227125167847,12.1220703125,23,0,
HCV,PCA-GRAANK,0.6,5.193441390991211,6.1982421875,2,0,
HCV,PCA-GRAANK,0.7,5.196735858917236,4.5205078125,0,0,
HCV,PCA-GRAANK,0.7,5.36274266242981,4.5205078125,0,0,
HCV,PCA-GRAANK,0.8,5.343664169311523,4.3408203125,0,0,
HCV,PCA-GRAANK,0.9,5.369809627532959,4.6298828125,0,0,
HCV,PCA-GRAANK,1.0,5.258557558059692,4.1220703125,0,0,
Air Quality,GRAANK,0.3,2051.565250635147,85.384765625,143,0,
Air Quality,GRAANK,0.34,1995.268863677978,47.6083984375,89,0,
Air Quality,GRAANK,0.38,1965.934084653854,43.2861328125,74,0,
Air Quality,GRAANK,0.4,1949.145992279053,35.4990234375,64,0,
Air Quality,GRAANK,0.5,1910.405424118042,30.2802734375,49,0,
Air Quality,GRAANK,0.6,1892.190096139908,13.0654296875,20,0,
Air Quality,GRAANK,0.7,1879.566165208816,10.1259765625,12,0,
Air Quality,GRAANK,0.8,1877.220607757568,6.6025390625,4,0,
Air Quality,GRAANK,0.9,1879.819982767105,6.83203125,1,0,
Air Quality,GRAANK,1.0,1874.301451444626,6.470703125,0,0,
Air Quality,PCA-GRAANK,0.3,1305.782351732254,25.9501953125,43,0,
Air Quality,PCA-GRAANK,0.34,1292.212834358215,18.1455078125,29,0,
Air Quality,PCA-GRAANK,0.38,1288.010148763657,14.6298828125,22,0,
Air Quality,PCA-GRAANK,0.4,1286.746096372604,13.6923828125,18,0,
Air Quality,PCA-GRAANK,0.5,1282.458552837372,14.8193359375,19,0,
Air Quality,PCA-GRAANK,0.6,1279.170732498169,8.40625,10,0,
Air Quality,PCA-GRAANK,0.7,1277.365500450135,8.171875,7,0,
Air Quality,PCA-GRAANK,0.8,1277.656596422195,6.78515625,2,0,
Air Quality,PCA-GRAANK,0.9,1270.839506626129,4.3251953125,0,0,
Air Quality,PCA-GRAANK,1.0,1268.269704341888,4.1767578125,0,0,
